dtype,family,maximum,minimum,missing,mode_fraction,model_utility,name,positive_gain_fold_fraction,status,unique_values,univariate_utility,definition,availability,final_selected,final_reason,correlation_clicks,correlation_carts,correlation_orders,duplicate_of,correlation,redundant_with
float32,graph,3394.464599609375,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_uniform_max,0.0,capacity,3476,0.003974696822967964,"max of time graph affinity from last 50 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0014546277417671462,-0.00012272847514787212,0.006320692510411481,,,
float32,graph,3394.464599609375,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_uniform_mean,0.0,capacity,3516,0.002098865943337109,"mean of time graph affinity from last 50 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0017250956163231358,-0.0008057744135952208,0.002807706762710382,,,
float32,graph,863.3053588867188,0.0,0,0.9970350944431366,0.0,graph_time_orders_n50_uniform_std,0.0,capacity,1409,0.00944018621917074,"std of time graph affinity from last 50 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.00017647455065247236,0.0023705885895690866,0.014518936978724611,,,
float32,graph,1973.9754638671875,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_position_sum,0.0,capacity,3543,0.005646094123290091,"sum of time graph affinity from last 50 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.001830407093162506,-0.0006552469253577792,0.008777465560610844,,,
float32,graph,1973.9754638671875,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_position_max,0.0,capacity,3539,0.003783420942868652,"max of time graph affinity from last 50 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0017233381868733317,-0.0006635698878968114,0.005686693596353792,,,
float32,graph,3394.464599609375,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_position_mean,0.0,capacity,3561,0.0019056580861879582,"mean of time graph affinity from last 50 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0017191266384208382,-0.0008059132195655504,0.0024866190941270155,,,
float32,graph,880.41015625,0.0,0,0.996780237075716,0.0,graph_time_orders_n50_position_std,0.0,capacity,1471,0.00922864954709083,"std of time graph affinity from last 50 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.00017584971762105603,0.0023960281327554647,0.014153760225836807,,,
float32,graph,3251.0400390625,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_hour_sum,0.0,capacity,3552,0.007333020827290653,"sum of time graph affinity from last 50 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0012691596801411298,-0.00015817242641157227,0.011931088552255114,,,
float32,graph,3251.0400390625,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_hour_max,0.0,capacity,3542,0.005240017587855757,"max of time graph affinity from last 50 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0011429901470913406,-0.0002043738319074058,0.008440677372624002,,,
float32,graph,3394.464599609375,0.0,0,0.9926324820578468,1.7997763129933754e-07,graph_time_orders_n50_hour_mean,0.3333333333333333,capacity,3540,0.0021714912904076795,"mean of time graph affinity from last 50 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0016042712389161282,-0.000708536780093273,0.0029975052208134744,,,
float32,graph,863.3053588867188,0.0,0,0.9967627277909313,0.0,graph_time_orders_n50_hour_std,0.0,capacity,1490,0.010115736076132515,"std of time graph affinity from last 50 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.00014170510931369698,0.0026376457845701407,0.015517119716383506,,,
float32,graph,3370.12841796875,0.0,0,0.9926324820578468,9.663532206792678e-06,graph_time_orders_n50_six_hours_sum,0.3333333333333333,capacity,3552,0.006977792181368974,"sum of time graph affinity from last 50 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0014842100393318944,0.0001623887163370389,0.011301090937557788,,,
float32,graph,3370.12841796875,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_six_hours_max,0.0,capacity,3542,0.004944762653323338,"max of time graph affinity from last 50 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0013629173126255216,0.00011546114457873536,0.007956387631145275,,,
float32,graph,3394.464599609375,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_six_hours_mean,0.0,capacity,3529,0.0020900397394417003,"mean of time graph affinity from last 50 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0017385004306108875,-0.0008130038025355536,0.0027871475926999094,,,
